id	\le	\leor	\ph	\u	\voc	\voir	\key	\src	\ps	\psr	\pf	\pfr	\pff	\dt	\ge	\gf	\gr	\egr	\ege	\egf
1715	lɤ̏	-lö				CV-AF			v	гл	<*tie-1, bind>			22/Jan/2011						
1716	lɤ́	'lö					Artifact Object Instrument Cookery	BE, LJ	n	сущ	<*mortar-3>			24/Oct/2008						
1717	lɤ́	'lö					State Condition Manner Physical Medicine	GA, GD	n	сущ				11/Jul/2008						
1718	lɤ̀ɤ	=löö			ɤɤ		Insect	BE, MG, LJ, CE	n	сущ	<*louse-3>			23/Jan/2011				(употребляется в форме ед.ч. в значении мн.ч.; не присоединя\ет gā)		
1719	lɤ̀ɤ	=löö			ɤɤ				pp	пл				11/Jul/2008						
1720	lɤ́ɤ	'löö			ɤɤ			LJ						24/Oct/2008						
1721	lɤ́ɤdhɤ̄	'löödhö						LJ	loc.n					24/Oct/2008						
1722	lɤ̏sɔ̏	-lösɔ	[-lö -sɔ]				Artifact Object Garment	GJ, LJ	n	сущ				29/Nov/2008						
1723	lɤ́ɯlɤ̏	'löülö	['löng -lö] (wo)		ɤɯ ~ ɤɤ			LP	adj	прил				29/Nov/2008						
1724	lùu	=luu'-			uu	CVV-LNAF		BE, MG, LJ, DJ, GJ	v	гл	<*rise (to)-2>			22/Jan/2011						
1725	lúu	'luu			uu		Insect		n	сущ				29/Nov/2008						
1726	lúu kpá	'luu 'kpa					Insect	LJ	n	сущ										
1727	lúulȕ	'luulu	['luu -lu]		uu			LJ	adj	прил				29/Nov/2008						
1728	lɯ̏	-lü						OD, LJ	mrph	мрф										
1729	lɯ́	'lü							n	сущ	<*tree>			23/Jan/2011						
1730	lɯ́ kpǽæ	'lü 'kpɛa			ɛa			LJ	n	сущ				03/Dec/2008						
1731	lɯ́dhʌ́n	'lünë	[lü 'në]					MG, LJ, DJ, GJ	n	сущ				22/Aug/2007						
1732	lɯ́dhɛ̀ɛ̄dhɤ	'lüdhɛɛdhö	['lü =dhɛɛ' dhö]					LJ	n	сущ				24/Oct/2008						
1733	lɯ́gɔ̏kpɤ̄	'lügɔkpö	['lü -gɔ kpö]					GJ	n	сущ				24/Oct/2008						
1734	lɯ́gúŋpā	'lü 'gungpa	['lü 'gung pa]				Reptile	YA, SE	n	сущ				24/Oct/2008						
1735	lɯ́kìā	'lükia	['lü =kia']				State Condition Manner Physical Medicine	LJ	n	сущ				29/Nov/2008						
1736	lɯ́kɔ̏dhʌ́n	'lükɔnë	['lü -kɔ 'në]				Natural Object	LJ	n	сущ				24/Oct/2008						
1737	lɯ́kɔ̏ɔ	'lükɔɔ	['lü -kɔɔ]				Natural Artifact Object Container	MG, LJ	n	сущ				22/Aug/2007						
1738	lɯ́ɯdhɤ̄	'lüüdhö	['lüü dhö]		ɯɯ				adv	нар				24/Oct/2008						
1739	lɯ́ɯdhɤ̄	'lüüdhö	['lüü dhö]		ɯɯ			LJ	adv	нар				03/Dec/2008						
1740	Máadhɤ̄	'Maandhö	['Maan dhö]		a̰a̰			LJ	loc.n	сущ				30/Oct/2008						
1741	ō	o						RC	prt	част				27/Jul/2008						particule interrogative générale
1742	ōo	oo						LJ	itj	союз				09/Jan/2009						
1743	ɔ̏	-ɔ						LJ	prt	част				30/Nov/2008						
1744	ɤ̏	-ö												30/Nov/2008						
1745	ɤ̏	-ö												03/Dec/2008						
1746	ɤ̏	-ö												03/Dec/2008						
1747	ɤ̄	ö			ɤ			LJ	pron	л.мест				30/Nov/2008	LOG.SG.EXI	LOG.SG.EXI	LOG.SG.EXI			
1748	ɤ̄	ö						DJ, LJ, GJ	pron	л.мест				30/Nov/2008	REFL.SG	REFL.SG	REFL.SG			
1749	ɤ́	'ö							pron	мест				30/Nov/2008						
1750	ɤ́	'ö												03/Dec/2008						
1751	ɤ̂	'ö-												14/Dec/2008						
1752	pā	pa				CV-M		DJ, GJ, LJ	v	гл	<*fill (to)>			22/Jan/2011						
1753	pā	pa				CV-M			v	гл	<*lick-2>			22/Jan/2011						
1754	pā	pa				CV-M		LJ	v	гл				22/Jan/2011						
1755	pá	'pa				CV-H		LJ, KB	v	гл				22/Jan/2011						
1756	pàa	=paa'-			aa	CVV-LNAF	BoundedEvent Agentive Physical	LJ	v	гл				22/Jan/2011						
1757	páa	'paa			aa		Artifact Object		n	сущ	<*bowl-2>			12/Dec/1999						
1758	pāafɛ̂n	paafɛn	[paa 'fɛn-]		aa			LJ	n	сущ				22/Aug/2007						
1759	pāagɔ́bhɛ̏n	paagɔmɛ	[paa- -gɔ -mɛ]		aa		Human	LJ	n	сущ				22/Aug/2007						
1760	páan	'paan			a̰a̰			LJ	n	сущ				23/Jan/2011						
1761	pádhe	'padhe	['pa 'dhe]					LJ	n	сущ				26/Oct/2008						
1762	pāŋ	pang					Artifact Object Garment	LJ	n	сущ				30/Nov/2008						
1763	pápá	'papa						LP, LJ	n					26/Oct/2008						
1764	pápádhɤ̄	'papadhö	['pa 'pa dhö]					LJ	adv	нар				30/Nov/2008						
1765	pāyɛ́ɛ̂n	payɛɛn	[pa 'yɛɛn-]		ɛ̰ɛ̰		Human	LJ	n	сущ				22/Aug/2007						
1766	pɒ́ɒ	'paɔ			ɒɒ		Artifact Object	BE, LJ	n	сущ				30/Nov/2008						
1767	pɒ́ɒgā	'paɔga	['paɔ ga]				Artifact Object	LJ	n	сущ				30/Nov/2008						
1768	pæ̀ǣ	=pɛa'			ɛa		Static Condition Modal Religion	DJ, LJ	n	сущ				30/Oct/2008						
1769	pʌ̄	pë							n	сущ	<*thing-2>			23/Jan/2011	thing	chose	вещь			
1770	pʌ̄	pë					Magie	LJ	n	сущ				30/Oct/2008						
1771	pʌ́	'pë						SB	n	сущ				23/Jan/2011						
1772	pʌ̄ dhíɤ̂	pë 'dhiö-							n	сущ	<chose-tranchant>			30/Nov/2008						
1773	pʌ̄ kpɤ̄	pë kpö					State Condition Manner Physical Medicine	DJ, LJ	n	сущ				09/Jan/2009						
1774	pʌ́ʌ̂	'pëë-			ʌʌ			LJ	adj	прил				30/Jan/2009						
1775	pʌ́ʌpʌ̏	'pëëpë	['pëë -pë]		ʌʌ		Property Condition Experience Modal	DJ, LJ, OD	adj	прил				30/Jan/2009						
1776	pʌ̄bȉdhɛn	pëbindhɛ	[pë -bin -dhɛ]					LJ	n	сущ				30/Oct/2008						
1777	pʌ̄bhlé	pëbhle	[pë 'bhle]					LJ, MG	restr					30/Oct/2008						
1778	pʌ̄gā	pëga	[pë ga]						n	сущ				30/Nov/2008						
1779	pʌ̄kàāpʌ̏	pëkaapë	[pë =kaa' -pë]					LJ	n	сущ				22/Aug/2007						
1780	pʌ̏-kʌ̄	-pë kë					BoundedEvent Agentive Existence Physical Purpose	LJ	v	гл	<thing-do?>	<вещь-делать?>	<chose-faire?>	22/Jan/2011						
1781	pʌ̄kpȁbhɛ̏n	pëkpamɛ	[pë -kpa -mɛ]				Human Occupation Cookery	LJ	n	сущ				30/Oct/2008						
1782	pʌ̄kpȁdhɛ	pëkpadhɛ	[pë -kpa -dhɛ]					LJ	n	сущ				22/Aug/2007						
1783	pʌ̄tée	pëtee	[pë 'tee]					DJ, LJ	n	сущ	<chose-petit>			22/Aug/2007						
1784	pȅ	-pe				CV-AF		LJ	n	сущ	<*vomit-4>			26/Jul/2008						
1785	pȅ	-pe					BoundedEvent Experience Physical Medicine	BE, MG, LJ, DJ	v	гл				22/Jan/2011	vomit	vomir	тошнить			
1786	pēdhēn	pene	[pe ne]		e-e, n		Human Part	MG, KB	n	сущ				18/Nov/2008						
1787	pēdhēngā	penega	[pe ne ga]				Human Part	KB	n	сущ				18/Nov/2008						
1788	pēe	pee			ee		State Condition Manner Physical Medicine	LJ	n	сущ				30/Nov/2008						
1789	pȅedʌ̄	-peedë	[-pee dë]		ee			LJ	num	числ	<*two>			18/Jun/2010	two	deux	два	форма менее частотна, чем plɛ̀; не употребляется при счёте	a less current form; it cannot be used when counting	
1790	pēedhɛ̀n	peenɛ	[pee =nɛ]		ee			LJ	adv	нар				30/Nov/2008						
1791	pɛ́	'pɛ				CV-H		DJ, LJ	v	гл				22/Jan/2011						
1792	pɛ̀ɛ	=pɛɛ'-			ɛɛ	CVV-LNAF			v	гл				22/Jan/2011						
1793	pɛ̀ɛ̄sɯ̏	=pɛɛsü	[=pɛɛ' -sü]					LJ	adj	прил				30/Nov/2008						
1794	pɛ̏n	-pɛn				CV-AF		DJ, LJ	v	гл				22/Jan/2011						
1795	pɛ̏n	-pɛn					Insect	BE, LJ	n	сущ	<*wood-borer>			30/Oct/2008						
1796	pɛ́n	'pɛn						LJ	n	сущ	<*piece-1>			23/Jan/2011						
1797	pɛn	pɛn-					Plant	SB	n	сущ										
1798	pɛ̏n yùā	-pɛn =yua'						DJ, LJ	n	сущ										
1799	pɛ̄ŋ	pɛnng					Natural Object	LJ	n	сущ				30/Nov/2008						
1800	pɛ̄ŋgā	pɛnng ga	[pɛnng ga]				Natural Object	LJ	n	сущ				30/Nov/2008						
1801	pȉa	-pia -sü												03/Dec/2008						
1802	pīan	pian												22/Aug/2007						
1803	pían	'pian			ḭa̰				n	сущ				30/Oct/2008						
1804	pían	'pian							pp	пл				30/Oct/2008						
1805	pȉʌ	-pië			iʌ		Artifact Object	DJ, MG, SB, LJ	n	сущ				30/Nov/2008						
1806	pȉʌn	-piën			ḭʌ̰			BE, CE, LJ	n	сущ	<*tale>			14/Dec/1999						
1807	pīʌn	 piën												30/Oct/2008						
1808	píʌnpíʌn	'piënpiën	['piën 'piën]		ḭʌ̰		Insect	LJ	n	сущ				03/Dec/2008						
1809	píi	'pii			ii		Natural Place	LJ	n	сущ				03/Dec/2008						
1810	pīidhɤn	piindhö	[piin dhö]		ḭḭ			DJ, SB, OD	adv	нар				30/Nov/2008						
1811	píigɯ́dhɛ̏	'piigüdhɛ	['pii 'gü -dhɛ]					LJ	n	сущ				22/Aug/2007						
1812	píigbéêdhɛ̏	'piigbeedhɛ	['pii 'gbee- -dhɛ]		ii			LJ	n	сущ				29/Nov/2008						
1813	pȉikɔ́	-piikɔ	[-pii 'kɔ]		ii			GJ, LJ	n	сущ				22/Aug/2007						
1814	pȉiŋdhɤ̄	-piingdhö	[-piing dhö]		iiŋ			LJ	adv	нар				30/Nov/2008						
1815	píitàa	'piitaa	['pii =taa]				Natural Place	SB, LJ	loc.n	сущ.лок				30/Oct/2008						
1816	píitàadhɛ̏	'piitaadhɛ	['pii =taa -dhɛ]					LJ	loc.n	сущ				30/Oct/2008						
1817	pīn	pin					Object Relation		n	сущ				30/Oct/2008						
1818	pìo	=pio'-			io	CVV-LNAF		DJ, LJ	v	гл				22/Jan/2011						
1819	píɔnpȉɔn	'piɔnpiɔn	['piɔn -piɔn]		ḭɔ̰			LJ	adv	прил				09/Jan/2009						
1820	píɔŋpȉɔŋ	'piɔngpiɔng	['piɔng -piɔng]		iɔŋ			LJ	adj	прил				03/Dec/2008						
1821	pȉɤ	-piö			iɤ			BE, MG, LJ, GJ, CE	n	сущ	<*iron>			23/Jan/2011						
1822	pȉɤ	-piö			iɤ	CVV-AF			v	гл	<*winnow>			22/Jan/2011						
1823	pìɤ̄	=piö'			iɤ		Artifact Object Instrument Fishery	LJ, KB	n	сущ				17/Apr/2000						
1824	píɤ	'piö			iɤ				pp	пл	<*side-3>			03/Dec/2008	at	chez	у			
1825	pȉɤbhȁn	-piöma	[-piö -ma]					LJ	n	сущ				30/Oct/2008						
1826	pȉɤgā	-piöga	[-piö ga]											30/Oct/2008						
1827	pìɤ̄gā	=piöga	[=piö' ga]				Artifact Object Instrument Fishery	LJ, KB	n	сущ				22/Aug/2007						
1828	pȉɤgbɔ̄	-piögbɔ	[-piö gbɔ]				Artifact Object	DJ, GJ, LJ	n	сущ	<fer-canari>			30/Oct/2008						
1829	píɤklɤ̀ɤzʌ̏	'piöklöözë	['piö =klöö'- -zë]					LJ	adv	нар				22/Aug/2007						
1830	pīɤŋdhɤ	piöngdhö	[piöng dhö]		iɤŋ			LJ	adv	нар				22/Aug/2007						
1831	pȉɤsáŋ	-piösang	[-piö 'sang]				Artifact Object Cookery	LJ	n	сущ				30/Oct/2008						
1832	pȉɤsòo	-piösoo	[-piö =soo]				Artifact Object	LJ, DJ	n	сущ	<cheval de fer>			22/Aug/2007						
1833	pȉɤsɯ́	-piösü	[-piö 'sü]				Artifact Object	GJ, LJ	n	сущ				30/Oct/2008						
1834	plȁ	-pla			ia ~ la	CLV-AF		LJ	v	гл				22/Jan/2011						
1835	plȁadhɛ	-plaadhɛ	[-plaa -dhɛ]		aa	CLVV		LJ	n	сущ				30/Nov/2008						
1836	plāan	plaan			ḭa̰ ~ la̰a̰??	CLVÃVÃ	Location	LJ	pp					03/Dec/2008						
1837	plàkàī	=plakai	[=pla =kai']		ai	CLV CVV	Cookery Comestible	LJ	n	сущ				03/Dec/2008						
1838	plàŋ	=plang'-				CLV÷		LJ	n	сущ				30/Nov/2008						
1839	plʌ̀ʌn	=plëën			ʌ̰ʌ̰	CLVÃVÃ	Human Part	MG	n	сущ				30/Nov/2008						
1840	plʌ́ʌplʌ̏	'plëëplë	['plëë -plë]		ʌʌ	CLVV CLV		LJ	adj	прил				30/Nov/2008						
1841	plʌ̀ʌplʌ́zʌ̏	=plëëplëzë	[=plëë 'plë -zë]		ʌʌ	CLVV CLV		LJ	adj	прил				22/Aug/2007						
1842	plʌ̀ʌzʌ̏	=plëëzë	[=plëë' -zë]		ʌʌ	CLVV		LJ, DJ, GJ, OD, RC	adj	прил				30/Oct/2008						
1843	plʌ́ŋ	'plëng				CLV÷	Living Part	KD	n	сущ				30/Nov/2008						
1844	plɛ̀	=plɛ				CLV		MG, LJ, GJ, CE, OD	num	числ	<*two>			30/Oct/2008	two	deux	два			
1845	plɛ̀	=plɛ				CLV	Plant	LP	n	сущ				30/Nov/2008						
1846	plɛ́	'plɛ				CLV		MG, LJ, GJ, CE, SB	dtm					30/Oct/2008						
1847	plɛ́ŋplɛ̏ŋ	'plɛngplɛng	['plɛng -plɛng]			CLV÷ CLV÷		LJ	adj	прил				03/Dec/2008						
1848	plɛ̀ŋ̄zʌ̏	=plɛngzë	[=plɛng' -zë]			CLV÷		LP	adj	прил				22/Aug/2007						
1849	plȍo	-ploo			oo	CLVV	Artifact Object	LJ	n	сущ				14/Dec/1999						
1850	plòo	=ploo'-			oo	CLVV-LNAF		DJ, LJ	v	гл				22/Jan/2011						
1851	plɔ̏	-plɔ			ɔɔ ~ ɔ	CLVV ~ CLV		LJ	n	сущ				18/Nov/2008						
1852	plɔ̏gā	-plɔga	[-plɔ ga]					KB	n	сущ				30/Nov/2008						
1853	plɔ̏ŋ	-plɔng				CLV÷		LJ	adj	прил				07/Dec/2008						
1854	plɔ̏ɔ	-plɔɔ												22/Aug/2007						
1855	plɔ́ɔ	'plɔɔ			ɔɔ	CLVV	Human Occupation Social	LJ	n	сущ				29/Nov/2008						
1856	plɤ̀ɤ	=plöö			ɤɤ	CLVV	Location	LJ	pp	пл				30/Nov/2008	at	chez	у			
1857	plɤ̄ɤ	plöö			ɤɤ	CLVV	Artifact Object Place	MG, LJ, DJ, GJ, SB	loc.n	сущ				30/Oct/2008						
1858	plɤ̄ɤdhɛ̏	plöödhɛ	[plöö -dhɛ]				Artifact Object Place	MG, LJ	n	сущ				30/Oct/2008						
1859	plɤ́ɤnplɤ̏	'plöönplö	['plöön -plö]		ɤ̰ɤ̰	CLVÃVÃ CLV		DJ, LJ	adj	прил				22/Aug/2007						
1860	plɯ́ŋ	'plüng				CLV÷	Natural Plant Part		n	сущ				30/Nov/2008						
1861	plɯ́plɯ̏	'plüplü	['plü -plü]			CLV CLV		LJ	adj	прил				30/Oct/2008						
1862	pó	'po						BE, LJ, DJ, GJ	v	гл	<*open>			22/Jan/2011				posle iii serii fakultativno AF ton (FTR 106) Proverit dr contextes		
1863	póŋ	'pong						LJ	n					23/Jan/2011						
1864	pōo	poo			oo			LJ	n	сущ	<*frog-1>			14/Dec/1999						
1865	pōo kùn	poo =kun			oo			DJ, LJ												
1866	pȍtàāsɯ̏	-potaasü	[-po =taa' -sü]						n	сущ				30/Nov/2008						
1867	pȍtàāsɯ̏	-potaasü	[-po =taa' -sü]					GJ	adj					30/Oct/2008						
1868	póɯ̂	'poü-			oɯ									26/Jul/2008						
1869	pɔ́dhɤ̄	'pɔdhö	['pɔ dhö]					LJ	adv	нар				30/Nov/2008						
1870	pɔ́n	'pɔn				CV-H		MG, LJ, GJ, SB	v	гл	<*dig-2>			22/Jan/2011						
1871	pɔ̄ɔ	pɔɔ-			ɔɔ		BoundedEvent Agentive Existence Physical Purpose Usage	MG, LJ, DJ, GJ	v	гл	<pʌ̄ + ɓɤ̏>		<pë + -bhö -sü>	08/Jul/2008						
1872	pɔ́ɔ̂	'pɔɔ-			ɔɔ			LJ	n	сущ	<Fr.>			17/Apr/2000						
1873	pɔ́ɔn	'pɔɔn			ɔ̰ɔ̰		Bird	LJ	n	сущ				14/Dec/1999						
1874	pɤ̄	pö				CV-M	BoundedEvent Communication Purpose	MG, LJ, GJ, SB	v	гл	<*say-1>			22/Jan/2011				позицию прямого дополнения занимает местоимение 3л.ед.ч. не-субъектной серии		
1875	pɤ́	'pö						LJ, DJ, CE	adv	нар										
1876	pɤ	pö-					Artifact Object Place	LJ, DJ, GJ, CE, OD	n	сущ	<*house-3>			30/Nov/2008						
1877	pɤdhɛ̏	pödhɛ	[pö- -dhɛ]					DJ, GJ, RC, LJ	n					30/Nov/2008						
1878	pɤ̀ɯ̄	=pöü'			ɤɯ	CVV-LNAF		LJ	v	гл				22/Jan/2011						
1879	pùʌn	=puën			ṵʌ̰		State Condition Manner Physical Medicine	BE, --LJ	n	сущ				30/Nov/2008						
1880	púʌŋpȕʌŋ	'puëngpuëng	['puëng -puëng]		uʌŋ			LJ	adj	прил				22/Aug/2007						
1881	púɛ̂ {yùā}	'puɛ- {=yua'}			uɛ		State Condition Manner Physical Medicine	MB, BE, LJ	n	сущ										
1882	pún	'pun				CV-H		LJ	v	гл				22/Jan/2011						
1883	púpú{-dhȕ}n	'pupu {-nu}												07/Dec/2008				мн. ч. от	plural of	pluriel de
1884	pùū	=puu'			uu			LJ	n	сущ				30/Nov/2008						
1885	púu	'puu			uu		Property Physical	BE, MG, LJ, SB, CE	adj	прил	<*white-2>			30/Jan/2009						
1886	pɯ̏ɤ	-püö			ɯɤ	CVV-AF			v	гл	<*fall>			22/Jan/2011						
1887	pɯ́ɯ	'püü			ɯɯ		Artifact Object	LJ	onomat	ономат				19/Jun/2010						
1888	sā	sa				CV-M			v	гл				22/Jan/2011						
1889	sá	'sa						LJ, DJ, SB	prt	част				31/Oct/2008						
1890	sȁa	-saa			aa			BE, MG, LJ, GJ	adj	прил				30/Jan/2009						
1891	sàa	=saa			aa		Artifact Object Instrument Fishery	MG, LJ, SB	n	сущ				31/Oct/2008						
1892	sāa	saa-			aa		Artifact Solid Consumable	DJ, GJ, SB, LJ	n	сущ				03/Apr/2000						
1893	sáa	'saa			aa			LJ	n	сущ				30/Nov/2008						
1894	sàa kɔ́	=saa 'kɔ			aa		Artifact Object Building	LJ	n	сущ										
1895	sàadhē	=saadhe	[=saa dhe]				Artifact Object Instrument Fishery	GA, MA	n	сущ				22/Aug/2007						
1896	sàādhen	=saandhe	[=saan' dhe]		a̰a̰			DJ, GJ, LJ	n	сущ				22/Aug/2007						
1897	sàādhenkʌ̄bhɛ̏n	=saandhekëmɛ	[=saandhe kë -mɛ]				Human		n	сущ				30/Nov/2008						
1898	sáadhɤ̄	'saadhö	['saa dhö]		aa		Static Time		adv	нар				31/Oct/2008						
1899	sȁan	-saan			a̰a̰		Artifact Object	LJ	n	сущ				30/Nov/2008						
1900	sàān	=saan'			a̰a̰				n	сущ	<*pay (to)>			23/Jan/2011						
1901	sáan	'saan			a̰a̰			LJ	n	сущ				23/Jan/2011						
1902	sȁangā	-saanga					Artifact Object		n	сущ				30/Nov/2008						
1903	sâblà	'sabla	['sa- =bla]				Time	LJ, OD	adv	нар				31/Oct/2008						
1904	sȁdhen	-sandhe	[-san -dhe]				Artifact Object	LJ	n	сущ	<*bottle>			07/Dec/2008						
1905	sákásákádhɤ̄	'sakasakadhö	['sa 'ka 'sa 'ka dhö]		a-a, k			LJ	adv	?				31/Oct/2008						
1906	sȁkpá	-sakpa	[-sa 'kpa]				Artifact Object Garment	GJ, LJ	n	сущ	<*shoe>			22/Aug/2007						
1907	sȁn	-san						RC, LJ	n	сущ				23/Jan/2011						
1908	sān	san				CV-M		LJ	v	гл				22/Jan/2011						
1909	sán	'san				CV-H		LJ	v	гл				22/Jan/2011						
1910	sán	'san				CV-H		LJ	v	гл	<*sneeze-2>			22/Jan/2011						
1911	sángó dhɤ̀ɤ dhɤ́	'sango =dhöö 'dhö			ɤɤ		Bird	LP	n	сущ				03/Dec/2008						
1912	sȁnzʌ̄dhe	-sanzëdhe	[-san zë dhe]					LJ	n	сущ				31/Oct/2008						
1913	sɒ̄ɒ	saɔ			ɒɒ			RC	n	сущ				03/Dec/2008						
1914	sɒ́ɒ	'saɔ			ɒɒ		Artifact Object Instrument	Man Marc	n	сущ				30/Nov/2008						
1915	sɒ̏ɒn	-saɔn			ɒ̰ɒ̰			SB	n	сущ										
1916	sʌ̏	-së						BE, LJ, MG, DJ, GJ	adj	прил	<*good-4>			30/Jan/2009	good	bon	хороший			
1917	sʌ̏	-së						DJ, BE, LJ	adv	нар				26/Jul/2008	well	bien	хорошо			
1918	sʌ̀ʌ̄	=sëë'			ʌʌ			DJ, LJ	n	сущ	<*tiredness-2>			23/Jan/2011						
1919	sʌ̀ʌ	=sëë'-			ʌʌ		Magics	LJ	n	сущ				07/Dec/2008						
1920	sʌ́ʌ	'sëë			ʌʌ		BoundedEvent Communication Purpose	MB, LJ	n	сущ				23/Jan/2011						
1921	sʌ́ʌ̂	'sëë-			ʌʌ		Artifact Object	DJ, LJ	n	сущ				08/Nov/2008						
1922	sʌ́ʌ̂	'sëë-			ʌʌ			DJ, LJ	n	сущ	<*pray (to)>			23/Jan/2011						
1923	sʌ̏ʌdhʌ́n	-sëënë	[-sëë 'në]		ʌʌ			LJ	adj	прил				10/Jan/2009						
1924	sʌ́ʌdhɛ̄	'sëëdhɛ	['sëë dhɛ]		ʌʌ			DJ, LJ, GJ	n	сущ				23/Jan/2011						
1925	sʌ́ʌdhɛ̏bȅ	'sëëdhɛbe	['sëë -dhɛ -be]				Artifact Object	GJ	n	сущ				08/Nov/2008						
1926	sʌ́ʌdhɛkɔ́	'sëëdhɛkɔ	['sëë 'dhɛ 'kɔ]						n	сущ	<maison de lettre>			08/Nov/2008						
1927	sʌ̏ʌzʌ̏	-sëëzë	[-sëë -zë]		ʌʌ		Property Condition	DJ, BE, LJ	adj	прил				08/Nov/2008						
1928	sʌ̏bhɛ̏n	-sëmɛ	[-së -mɛ]				Human	LJ	n	сущ				07/Dec/2008						
1929	sʌ̏dhɛ	-sëdhɛ	[-së -dhɛ]				State Condition Manner Physical	LJ	n	сущ				29/Nov/2008						
1930	sʌ́nsʌ́dhɤ̄n	'sënsëndhö	['sën 'sën dhö]					MG, LJ	adv					03/Dec/2008						
1931	sʌ̄ŋ	sënng					Natural	LJ	n	сущ				08/Nov/2008						
1932	sʌ́ŋ	'sënng						LJ	n	сущ	<*gold>			23/Jan/2011						
1933	sʌ̄ŋgbʌ̄	sënggbë	[sëng gbë]				Plant	LJ	n	сущ				03/Dec/2008						
1934	sʌ́ŋsʌ̏	'sëngsë	['sëng -së]				Animal	LJ	n	сущ				03/Dec/2008						
1935	sé	'se					State Condition Manner Physical Medicine	LJ	n	сущ				08/Nov/2008						
1936	sèe	=see'-			ee		Natural Object Comestible	EF, LJ, SB, CE, OD	n	сущ				30/Nov/2008	citrus	agrume	цирусовый			
1937	sēi	sei	[sö 'yi]		ei ~ ɤi		Cookery Comestible	LJ	n	сущ				03/Dec/2008						
1938	séŋdhɤ̄	'sengdhö	['sɛnng dhö]					GJ, --LJ	adv	нар				30/Nov/2008						
1939	séŋséŋdhɤ̄	'sengsengdhö	[-sɛn -sɛn dhö]					LJ	adv	нар				08/Nov/2008						
1940	sɛ́	'sɛ							loc.n	сущ	<*earth-5>			03/Dec/2008	land	terre	земля			
1941	sɛ̄ȁ	sɛa-			ɛa ~ ia			LJ	loc.n					08/Nov/2008				LOC от	LOC from	LOC de
1942	sɛ̄ȁbɛ̏n	sɛabɛn	[sɛa- -bɛn]				Living Part	KD	n	сущ				30/Nov/2008						
1943	sɛ̄ȁzȉan	sɛazian	[sɛa- -zian]					DJ, LJ	n	сущ				03/Dec/2008						
1944	sɛ́dʌ̄	'sɛdë	['sɛ dë]				Human Occupation Social Condition	LJ	n	сущ	<pere de la terre>			23/Jan/2011						
1945	sɛ́dhɛ́n	'sɛnɛ	['sɛ 'nɛ]		ɛ-ɛ, n			LJ, DJ	n					03/Dec/2008						
1946	sɛ̏ɛ	-sɛɛ			ɛɛ		Living	LJ, SE	n	сущ				08/Jan/2009						
1947	sɛ̀ɛ̏	=sɛɛ-			ɛɛ		BoundedEvent Communication Purpose Social	LJ, RC	n	сущ				23/Jan/2011						
1948	sɛ̀ɛ̄	=sɛɛ'			ɛɛ		Artifact Object	CE, --LJ	n	сущ	<*mat-2>			23/Jan/2011						
1949	sɛ̀ɛ	=sɛɛ'-			ɛɛ	CVV-LNAF		LJ	v	гл				22/Jan/2011						
1950	sɛ́ɛ	'sɛɛ			ɛɛ		Artifact Object Instrument		n	сущ	<*bow (weapon)-2>			14/Dec/1999						
1951	sɛ̏ɛbɔ̏	-sɛɛbɔ	[-sɛɛ -bɔ]		ɛɛ			LJ, DJ	adj	прил				07/Dec/2008	good.INT.PL	bon.INT.PL	хороший.INT.PL	мн. ч. от	Int. plural from	Int. pluriel de
1952	sɛ̀ɛ̄dhɛ̏	=sɛɛdhɛ	[=sɛɛ' -dhɛ]		ɛɛ			GA, GD	n	сущ				03/Dec/2008						
1953	sɛ́ɛgā	'sɛɛga	['sɛɛ ga]				Artifact, Instrument	DJ, GJ, LJ	n	сущ	<*arrow-2>			22/Aug/2007						
1954	sɛ́ɛlɯ́	'sɛɛlü	['sɛɛ 'lü]				Artifact, Instrument	KB	n	сущ				22/Aug/2007						
1955	sɛ̀ɛ̏n	=sɛɛn-			ɛ̰ɛ̰		Artifact Object Garment	LP	n	сущ				14/Dec/1999						
1956	sɛ́ɛ̂n	'sɛɛn-			ɛ̰ɛ̰			LJ, DJ, SB	adj	прил	<*small-4>			30/Jan/2009						
1957	sɛ́ɛ̂n	'sɛɛn-			ɛ̰ɛ̰			LJ	n	сущ				23/Jan/2011						
1958	sɛ́gɔ̏	'sɛgɔ	['sɛ -gɔ]				Object Place	DJ, LJ	n	сущ				08/Nov/2008						
1959	sɛ́gɯ́bhɛ̏n	'sɛgümɛ	['sɛ 'gü -mɛ]				Human	LJ	n	сущ				08/Nov/2008				мо\жет употребля\ться в фо\рме еди\нств числа\ в значе\нии мно\жественного		
1960	sɛ́i	'sɛi			ɛi			LJ	loc.n	сущ.лок				08/Nov/2008				LOC от	LOC from	LOC de
1961	sɛ́i bhɛ̏ɛn	'sɛi -mɛɛ					Reptile	YA, SE	n	сущ										
1962	sɛ́idhɤ̄	'sɛidhö	['sɛi dhö]					LJ	loc.n	сущ.лок				08/Nov/2008				LOC от	LOC from	LOC de
1963	sɛ́ipʌ̀ŋdhɛ̏	'sɛipëngdhɛ	['sɛi =pëng -dhɛ]					GA	n	сущ				09/Jan/2009						
1964	sɛ́isīʌ	'sɛisië	['sɛi sië]		iʌ			CE woLJ	num	числ	<*nine>			08/Nov/2008						
1965	sɛ́kɛ́	'sɛkɛ	['sɛ 'kɛ]					LJ	n	сущ				30/Nov/2008						
